"Name","Vorname","Fraktion","2017","2018","2019","2020","2021","Gesamt"
"Rabanus","Martin","SPD","0","0","0","0","0","0"
"Rimkus","Andreas","SPD","0","0","0","0","0","0"
"Rix","Sönke","SPD","0","0","0","0","0","0"
"Rohde","Dennis","SPD","0","0","0","0","0","0"
"Röspel","René","SPD","0","0","0","0","0","0"
"Rossmann","Dr. Ernst Dieter","SPD","0","0","0","0","0","0"
"Roth (Heringen)","Michael","SPD","0","0","0","0","0","0"
"Rüthrich","Susann","SPD","0","0","0","0","0","0"
"Rützel","Bernd","SPD","0","0","0","0","0","0"
"Schäfer (Bochum)","Axel","SPD","0","0","0","0","0","0"
"Scheer","Dr. Nina","SPD","0","0","0","0","0","0"
"Schieder","Marianne","SPD","0","0","0","0","0","0"
"Schiefner","Udo","SPD","0","0","0","0","0","0"
"Schmid","Dr. Nils","SPD","0","0","0","0","0","0"
"Schneider (Erfurt)","Carsten","SPD","0","0","0","0","0","0"
"Schraps","Johannes","SPD","0","0","0","0","0","0"
"Schulte","Ursula","SPD","0","0","0","0","0","0"
"Schulz (Spandau)","Swen","SPD","0","0","0","0","0","0"
"Schwabe","Frank","SPD","0","0","0","0","0","0"
"Schwartze","Stefan","SPD","0","0","0","0","0","0"
"Schwarz","Andreas","SPD","0","0","0","0","0","0"
"Schwarzelühr-Sutter","Rita","SPD","0","0","0","0","0","0"
"Stadler","Svenja","SPD","0","0","0","0","0","0"
"Stamm-Fibich","Martina","SPD","0","0","0","0","0","0"
"Tack","Kerstin","SPD","0","0","0","0","0","0"
"Thews","Michael","SPD","0","0","0","0","0","0"
"Töns","Markus","SPD","0","0","0","0","0","0"
"Vogt","Ute","SPD","0","0","0","0","0","0"
"Völlers","Marja-Liisa","SPD","0","0","0","0","0","0"
